postcode,Positive,Negative,Cumulative Incidence,Partially Covered,Partially Covered Rate,Fully Covered,Fully Covered Rate,Population
16001,2191,11783,5640.08,1288.0,3315.57,17824.0,45882.56,38847.0
16002,806,3866,5282.82,455.0,2982.24,6354.0,41646.46,15257.0
16003,19,94,,7.0,,67.0,,
16018,0,0,,,,,,
16020,58,262,5030.36,38.0,3295.75,392.0,33998.27,1153.0
16022,27,96,6994.82,10.0,2590.67,186.0,48186.53,386.0
16023,576,1389,12914.8,211.0,4730.94,1970.0,44170.4,4460.0
16024,23,79,9913.79,12.0,5172.41,147.0,63362.07,232.0
16025,360,1291,6931.07,144.0,2772.43,2052.0,39507.12,5194.0
16027,12,103,4687.5,20.0,7812.5,172.0,67187.5,256.0
16028,122,442,7554.18,48.0,2972.14,687.0,42538.7,1615.0
16029,36,179,4851.75,21.0,2830.19,252.0,33962.26,742.0
16030,15,60,5050.51,6.0,2020.2,101.0,34006.73,297.0
16033,345,1721,5511.18,232.0,3706.07,3227.0,51549.52,6260.0
16034,93,418,4879.33,58.0,3043.02,707.0,37093.39,1906.0
16035,8,17,5479.45,,,,,146.0
16036,9,26,5487.8,,,,,164.0
16037,269,1375,5882.35,202.0,4417.23,2555.0,55871.42,4573.0
16038,222,747,6180.4,102.0,2839.64,1127.0,31375.28,3592.0
16039,81,90,,,,,,
16040,34,187,3323.56,25.0,2443.79,298.0,29130.01,1023.0
16041,102,443,4829.55,45.0,2130.68,618.0,29261.36,2112.0
16045,45,353,4518.07,33.0,3313.25,452.0,45381.53,996.0
16046,1207,6636,7227.98,854.0,5114.08,11088.0,66399.19,16699.0
16048,7,22,4929.58,7.0,4929.58,35.0,24647.89,142.0
16049,149,620,4837.66,68.0,2207.79,997.0,32370.13,3080.0
16050,73,360,5316.82,28.0,2039.33,447.0,32556.45,1373.0
16051,128,707,4516.58,84.0,2964.01,1103.0,38920.25,2834.0
16052,91,606,3591.16,75.0,2959.75,977.0,38555.64,2534.0
16053,192,1013,4249.67,126.0,2788.84,1998.0,44223.11,4518.0
16054,15,75,3978.78,7.0,1856.76,109.0,28912.47,377.0
16055,565,2599,7066.03,360.0,4502.25,4349.0,54389.69,7996.0
16056,328,1389,6854.75,155.0,3239.29,2322.0,48526.65,4785.0
16057,629,3015,4301.15,363.0,2482.22,4442.0,30374.73,14624.0
16058,0,5,,,,,,
16059,547,2820,6636.74,330.0,4003.88,5053.0,61307.93,8242.0
16061,107,573,4186.23,71.0,2777.78,955.0,37363.07,2556.0
16063,446,2636,6366.88,322.0,4596.72,4497.0,64197.0,7005.0
16066,1899,10199,6181.84,1487.0,4840.65,19286.0,62781.99,30719.0
